,rownum,adult,budget,genres,production_companies,release_date,revenue,runtime,DirectorHistoryGross,ActorHistoryAverage_Gross,production_history_gross,genre_10752,genre_12,genre_14,genre_16,genre_80,genre_18,genre_10769,genre_10770,genre_27,genre_28,genre_10402,genre_35,genre_36,genre_99,genre_37,genre_878,genre_9648,genre_53,genre_10749,genre_10751
89,227,0,16000000.0,[35],"[12, 11061]",1994-12-16,247275374.0,107.0,1.0,999467788661.0,430521984.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90,231,0,18000000.0,"[35, 18, 36]",[9195],1994-09-27,5887457.0,127.0,333000000.0,2590588530.0,696502348.0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
91,236,0,15000000.0,"[18, 53]",[559],1995-03-03,12201255.0,103.0,32101000.0,1257524261.0,1860268187.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,242,0,700000.0,[99],"[8, 13042]",1994-09-12,7830611.0,171.0,1.0,18052326999.0,12805195.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,243,0,5000000.0,"[18, 14]","[11, 14, 294, 2306]",1994-09-02,3049135.0,99.0,242623.0,71340661371.0,43073090.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,244,0,10500000.0,"[35, 10751]","[175, 915]",1995-01-06,26325256.0,113.0,1.0,19520338684.0,329749876.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
95,249,0,60000000.0,"[27, 10749]",[360],1994-11-11,223664608.0,123.0,62548947.0,2413612516.0,59509926.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
96,250,0,14000000.0,"[18, 10749]","[2370, 9195]",1995-03-31,2474000.0,139.0,23237911.0,2509153473.0,362813858.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
97,252,0,60000000.0,"[35, 10751, 10749]","[33, 8816]",1994-11-22,37000000.0,109.0,201957688.0,507992270889.0,1745600801.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
98,262,0,30000000.0,"[12, 18, 10749, 10752]","[348, 559, 1656]",1994-12-16,160638883.0,133.0,1.0,152194477670.0,560358948.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,267,0,17000000.0,[18],[4],1995-03-17,7603766.0,106.0,1.0,22556037475.0,2902707892.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,269,0,45000000.0,"[18, 27, 878, 10749]","[70, 559]",1994-11-04,112006296.0,123.0,1.0,18753423620.0,906326404.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
101,274,0,6.0,"[35, 10749]",[915],1995-01-27,5.0,95.0,1.0,750062626.0,540586479.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
102,278,0,31000000.0,"[18, 53]","[306, 802, 1382]",1994-12-23,106683817.0,112.0,1.0,308630992909.0,1223200849.3333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
